CustomerId,CustomerName,Sector,Region,OnboardedDate
1,Wheeler PLC,Maritime,EU,2023-12-06
2,Stewart-Gregory,Aerospace,MENA,2026-04-06
3,"Cruz, Schultz and Caldwell",Aerospace,PAC,2024-08-16
4,Church Ltd,R&D,MENA,2025-09-14
5,Griffin-Ortega,Maritime,PAC,2025-10-06
6,Nash-Perez,Defense,CONUS,2024-12-13
7,"Rivera, Holland and Brown",Defense,CONUS,2025-02-05
8,"Moore, Davis and Velez",Defense,PAC,2025-07-21
9,Davis PLC,R&D,EU,2024-02-28
10,Osborn Group,Cyber,CONUS,2023-11-07
11,Hill Ltd,Cyber,EU,2023-12-03
12,Bean-Jones,Maritime,EU,2024-01-22
13,Chandler-Parks,Defense,CONUS,2025-07-30
14,Cortez Inc,Cyber,MENA,2025-04-07
15,Nelson Inc,Cyber,PAC,2025-06-21
16,Archer Group,Maritime,EU,2025-01-07
17,Chavez-Benson,Maritime,MENA,2024-04-07
18,Richard-Singleton,Maritime,PAC,2025-09-27
19,Cox-Ellis,Cyber,MENA,2023-03-19
20,Matthews Group,Cyber,PAC,2024-05-03
21,Miller-Brown,R&D,EU,2022-06-20
22,"Nguyen, Smith and Goodwin",Cyber,PAC,2025-04-21
23,Sanchez PLC,R&D,PAC,2025-07-12
24,Hodges-Lopez,Cyber,PAC,2023-09-04
25,Fields-Shields,Cyber,EU,2025-09-27
26,Sampson-Cook,Cyber,CONUS,2025-10-15
27,Robinson-Conley,Cyber,CONUS,2022-07-05
28,Parsons LLC,Aerospace,EU,2023-02-07
29,"Smith, Henry and Rice",Defense,MENA,2024-12-11
30,Hernandez-Harris,Cyber,MENA,2026-02-13
31,"Gray, Bell and Brown",Cyber,CONUS,2022-11-23
32,Reynolds Inc,Aerospace,PAC,2024-01-06
33,Robinson Group,Cyber,EU,2022-09-07
34,"Brown, Wilson and Stevens",Cyber,MENA,2025-09-30
35,"Bond, Harrison and Lynch",Defense,MENA,2025-02-06
36,Wheeler LLC,Defense,PAC,2024-01-28
37,Bradley PLC,Cyber,PAC,2023-12-23
38,Dunn LLC,Maritime,PAC,2024-11-14
39,Roy and Sons,Defense,PAC,2024-10-29
40,"Robinson, Palmer and Potter",Aerospace,MENA,2024-07-30
41,Joseph-Chavez,R&D,EU,2024-08-30
42,"Escobar, Hernandez and Strickland",Cyber,MENA,2024-03-29
43,"Powell, Schmidt and Myers",Cyber,CONUS,2025-02-23
44,Griffin LLC,Defense,EU,2026-01-24
45,Mcmillan and Sons,Aerospace,CONUS,2022-07-04
46,Hudson Group,Aerospace,PAC,2022-09-17
47,Scott-Olsen,R&D,CONUS,2024-10-08
48,Smith-Burnett,Defense,EU,2023-03-22
49,Cruz and Sons,Cyber,MENA,2025-04-22
50,Jones LLC,Cyber,CONUS,2023-12-15
51,"Boyd, Jones and Smith",Maritime,PAC,2023-01-31
52,"White, Carter and Collier",Cyber,CONUS,2023-09-01
53,"Day, Wall and Shepherd",Defense,EU,2022-12-04
54,Cole Group,Defense,MENA,2025-07-24
55,Bradley Ltd,R&D,CONUS,2024-12-18
