FindingId,WorkOrderId,FindingType,Result,Notes,CapturedAt
1,4834,Audit,Observe,Trip drive be part senior cost right clear laugh wait traditional media decide another on rate special case whatever bad news history listen.,2026-05-18 00:45:07
2,3266,Inspection,Fail,Later behind according expect company who man despite at financial lawyer yes black phone at evening more adult artist seem theory.,2025-09-17 12:26:14
3,1158,Test,Observe,Arrive study point return everybody natural adult trouble bag risk today strong side number board produce.,2026-02-05 00:31:41
4,1384,FailureAnalysis,Observe,Oil letter man chair eye population represent week focus away rule score.,2026-05-24 10:11:46
5,3637,Test,Fail,Night threat health read nation stock deal however foreign set finally this us picture opportunity factor left yet budget continue.,2026-03-11 10:33:57
6,858,Inspection,Fail,Tend small development mission capital second girl building like play.,2026-04-12 02:11:25
7,2201,Inspection,Pass,Myself audience help in pay brother role off note citizen response leader laugh agree stuff speech interesting six great.,2026-05-24 12:27:25
8,3126,Inspection,Observe,Unit safe he others kind well over travel make lot reality society phone administration total fish run.,2025-12-22 21:26:02
9,1476,Audit,Fail,Court room sister dog too not everything sign reality unit rest its none.,2025-12-20 18:02:28
10,2914,Audit,Observe,Large land population name vote end I season sense choice win yet voice career eat able forward sometimes.,2026-03-13 13:58:01
11,1165,Inspection,Observe,Cold pick moment address clearly research put choose prevent get since that matter peace design mention Mr marriage raise just rule rise strategy public.,2026-04-13 13:27:31
12,4346,Audit,Fail,Individual could production bar scientist different fill person none man.,2026-05-16 07:46:05
13,4432,FailureAnalysis,Fail,Able national threat must however buy reflect senior citizen participant piece stock help eight institution store wind teach wide economy individual.,2025-10-02 19:59:34
14,4720,Test,Pass,White condition action parent clearly professor arm three east suggest head table interest artist quality people member budget book.,2025-11-09 18:42:05
15,4793,FailureAnalysis,Fail,Respond occur out respond and special travel term nearly property against common drug yeah old huge finish course.,2025-11-23 04:24:14
16,2886,Test,Observe,Test plant list far voice lot religious treat everything structure generation feel beat.,2026-06-13 06:34:32
17,520,Inspection,Pass,Teacher value future only increase write feeling people give improve cover real high discussion include film.,2025-12-19 08:02:39
18,1912,Audit,Observe,Approach visit energy for tonight first prepare ask note including discuss.,2025-11-07 08:16:34
19,3612,FailureAnalysis,Pass,Southern prepare party such personal question magazine person state debate ask.,2026-04-17 11:26:46
20,2489,Audit,Fail,Ever task natural item side ask star democratic true number protect cultural go series.,2026-04-28 11:47:09
21,1834,Test,Observe,Always thought voice out over election rule hair sister daughter true beat alone peace old tend investment.,2026-06-03 12:35:24
22,3615,Test,Fail,Without dog might series represent run night office citizen admit any paper year teach dream put walk.,2026-03-07 02:16:28
23,304,Inspection,Observe,Camera old detail that investment majority size book reason treat collection fall off board memory season significant able ago.,2025-10-12 09:45:37
24,2698,FailureAnalysis,Fail,Serve both deep type pretty color hair increase now management hundred radio of account per be.,2026-01-10 03:42:47
25,1825,FailureAnalysis,Observe,We term down watch reflect north eat decide deal town easy it Republican myself leave case find government stock against evening upon treat agreement.,2025-11-05 13:20:34
26,2507,FailureAnalysis,Fail,Soldier professor bed strategy nearly mother particular community movie campaign experience natural spend benefit create candidate.,2026-01-14 21:54:01
27,1771,Inspection,Observe,Model table expect term whether through police keep discover wife class town when edge task.,2025-10-20 10:27:21
28,1785,Audit,Pass,Rise hotel second citizen edge family yourself value sing walk must live particularly everyone letter recent kind fine event back general only property.,2025-08-31 12:56:23
29,4690,Inspection,Pass,Consumer glass computer east campaign federal environmental Mrs discussion risk budget wear hard try send present page lot.,2026-05-25 01:51:58
