WorkOrderId,ProjectId,Status,Severity,SystemArea,HoursOpen,OpenedDate
1,1061,Blocked,High,Hull,14,2026-05-20
2,489,Closed,Low,Hydraulics,118,2025-09-10
3,16,In Progress,Critical,Comms,108,2025-12-31
4,17,In Progress,Critical,Software,111,2025-09-12
5,342,Closed,Critical,Hull,59,2025-11-09
6,238,Blocked,Low,Hydraulics,41,2026-01-13
7,263,Closed,Critical,Hydraulics,1,2025-12-09
8,126,Closed,Low,Avionics,19,2025-06-19
9,150,In Progress,Low,Comms,110,2026-02-18
10,571,In Progress,Medium,Power,87,2026-04-04
11,595,In Progress,Critical,Comms,7,2026-02-16
12,715,Closed,Critical,Hull,13,2025-10-24
13,875,Closed,Low,Avionics,49,2026-01-24
14,748,Blocked,Critical,Hull,52,2025-10-10
15,933,Blocked,Critical,Avionics,78,2026-03-29
16,774,In Progress,Medium,Power,100,2025-11-18
17,545,Open,Low,Software,92,2025-09-23
18,751,In Progress,Medium,Power,18,2025-07-10
19,778,In Progress,High,Hull,80,2025-07-12
20,411,In Progress,Medium,Avionics,75,2026-02-11
21,156,In Progress,High,Software,91,2025-08-25
22,28,Open,Critical,Power,89,2025-10-01
23,583,In Progress,Critical,Hull,7,2026-03-28
24,234,Closed,High,Comms,76,2026-02-25
25,235,Blocked,Low,Avionics,96,2025-12-25
26,197,Open,Low,Hull,91,2025-09-15
27,311,Open,Critical,Avionics,65,2026-06-09
28,67,Closed,Medium,Power,72,2026-02-28
29,1172,Blocked,Medium,Hull,117,2025-08-15
30,689,In Progress,Critical,Hydraulics,41,2026-04-07
31,592,Blocked,Medium,Hull,115,2026-02-14
32,183,Open,Medium,Power,74,2025-09-09
33,826,Open,Critical,Power,50,2026-02-28
34,497,Closed,Critical,Power,87,2026-06-05
35,492,Open,Medium,Hydraulics,12,2025-08-08
36,1014,Closed,Medium,Hull,47,2025-09-07
37,300,Blocked,Medium,Hull,69,2025-12-07
38,683,In Progress,High,Comms,64,2025-10-20
39,264,Open,High,Avionics,104,2025-07-14
40,71,Open,Medium,Software,51,2025-10-12
41,102,Blocked,Low,Comms,96,2026-01-24
42,773,Blocked,Low,Avionics,76,2026-01-22
43,50,Blocked,High,Hydraulics,106,2025-06-25
44,294,Open,Critical,Hull,84,2025-08-25
45,416,In Progress,Low,Hydraulics,41,2026-02-18
46,862,Closed,Medium,Software,92,2026-03-23
47,412,Open,Low,Avionics,8,2025-08-06
48,78,In Progress,Low,Avionics,71,2026-05-09
49,909,Open,Low,Power,110,2026-01-27
50,1089,In Progress,Low,Software,83,2026-01-27
51,473,Blocked,High,Avionics,43,2025-09-10
52,1114,Open,Medium,Software,95,2026-05-30
53,472,Blocked,Low,Comms,29,2026-03-29
54,909,Closed,Critical,Avionics,32,2026-05-03
55,856,In Progress,Critical,Software,118,2025-07-19
56,51,In Progress,Low,Hydraulics,87,2025-11-03
57,879,Blocked,Low,Software,39,2026-03-06
58,940,Closed,High,Avionics,112,2025-09-07
59,712,Open,Medium,Avionics,5,2025-09-02
60,715,In Progress,Medium,Avionics,111,2025-12-23
61,887,In Progress,Critical,Software,58,2025-11-26
62,1032,In Progress,High,Avionics,72,2026-06-06
63,1198,Blocked,Low,Hydraulics,86,2025-10-11
64,865,Closed,Medium,Hull,94,2025-09-03
65,730,Open,Low,Hull,104,2026-03-21
66,995,Closed,Critical,Comms,111,2025-12-31
67,202,Closed,Critical,Hull,112,2025-07-06
68,257,Closed,Medium,Hydraulics,56,2025-08-20
69,1116,Open,High,Avionics,94,2025-10-04
70,813,Closed,Medium,Hull,23,2025-11-06
71,326,Closed,Medium,Hull,56,2025-12-24
72,910,In Progress,Low,Hull,83,2026-01-12
73,814,Closed,Low,Power,22,2025-08-18
74,384,Closed,Low,Power,75,2026-06-03
75,1196,Blocked,Medium,Software,69,2025-10-27
76,218,Blocked,Medium,Power,80,2025-10-20
77,977,Closed,Critical,Hydraulics,56,2025-10-15
78,661,Closed,Critical,Power,4,2025-08-22
79,1125,Blocked,Medium,Comms,69,2025-07-13
80,51,Open,High,Avionics,118,2026-02-20
81,596,Closed,Low,Avionics,115,2025-07-27
82,794,Closed,High,Software,75,2026-02-03
83,386,In Progress,Low,Software,111,2026-05-30
84,722,Blocked,Critical,Avionics,69,2026-02-24
85,1092,Open,Critical,Comms,15,2026-04-09
86,632,Open,Critical,Avionics,112,2025-10-27
87,740,Open,Low,Comms,78,2025-10-08
88,377,Blocked,High,Software,91,2026-03-26
89,371,Closed,Critical,Power,82,2026-01-03
90,949,In Progress,Low,Comms,3,2025-10-08
91,290,Open,Medium,Avionics,14,2026-01-20
92,308,Open,High,Avionics,83,2025-06-18
93,1039,Open,Critical,Hull,36,2025-09-23
94,351,Closed,Low,Comms,83,2025-10-28
